frame_id,source_sample_index,rx_id,xml_path,tx_power_dbm,tx_x,tx_y,tx_z,rx_x,rx_y,rx_z,frequency_hz,num_paths,tau_min,tau_max,delay_spread,path_gain_sum,path_gain_db,rx_power_dbm,gain_method,gain_error,a_shape,tau_cir_shape,valid_shape,tau_shape,gain_debug,sanity_ok,error_message
2,514,rx_panda_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_002_sionna.xml,30.0,0.0,0.0,2.4,0.582,0.888,1.195,28000000000.0,22,1.0643357306605594e-08,6.284866316264015e-08,5.2205305856034556e-08,1.9107140314389426e-09,-87.18804307116332,-57.18804307116332,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 22, 1]","[1, 1, 22]","[1, 1, 22]","[1, 1, 22]",,True,
2,514,rx_ur5_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_002_sionna.xml,30.0,0.0,0.0,2.4,0.497,-0.841,0.995,28000000000.0,19,5.708055805797585e-09,5.930293767164585e-08,5.3594881865848265e-08,6.884288836772612e-07,-61.62140916731317,-31.621409167313168,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 19, 1]","[1, 1, 19]","[1, 1, 19]","[1, 1, 19]",,True,
2,514,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_002_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,
2,514,rx_nao_chest,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_002_sionna.xml,30.0,0.0,0.0,2.4,-0.1337,2.748,0.7,28000000000.0,24,1.0787783999433032e-08,6.209720737615498e-08,5.130942337672195e-08,7.249248312746204e-08,-71.39707023849851,-41.397070238498515,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 24, 1]","[1, 1, 24]","[1, 1, 24]","[1, 1, 24]",,True,
2,514,rx_human_chest,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_002_sionna.xml,30.0,0.0,0.0,2.4,-1.4605,-0.8406,1.6421,28000000000.0,21,6.163341392806387e-09,6.431429255826515e-08,5.8150951165458764e-08,2.240194589830935e-07,-66.49714255942916,-36.497142559429165,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 21, 1]","[1, 1, 21]","[1, 1, 21]","[1, 1, 21]",,True,
2,514,rx_x500_body,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_002_sionna.xml,30.0,0.0,0.0,2.4,-3.9279,3.2024,1.3944,28000000000.0,23,1.7234324189985273e-08,7.465505547088469e-08,5.742073128089942e-08,3.372388945876992e-08,-74.72062342912375,-44.72062342912375,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 23, 1]","[1, 1, 23]","[1, 1, 23]","[1, 1, 23]",,True,
3,771,rx_panda_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_003_sionna.xml,30.0,0.0,0.0,2.4,0.582,0.888,1.195,28000000000.0,27,7.579527228074312e-09,6.284866316264015e-08,5.526913593456584e-08,2.356929940106056e-08,-76.27653326715199,-46.27653326715199,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 27, 1]","[1, 1, 27]","[1, 1, 27]","[1, 1, 27]",,True,
3,771,rx_ur5_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_003_sionna.xml,30.0,0.0,0.0,2.4,0.497,-0.841,0.995,28000000000.0,19,5.708055805797585e-09,5.930293767164585e-08,5.3594881865848265e-08,6.884288836772612e-07,-61.62140916731317,-31.621409167313168,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 19, 1]","[1, 1, 19]","[1, 1, 19]","[1, 1, 19]",,True,
3,771,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_003_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,
3,771,rx_nao_chest,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_003_sionna.xml,30.0,0.0,0.0,2.4,-0.1337,2.748,0.7,28000000000.0,24,1.0787783999433032e-08,6.209720737615498e-08,5.130942337672195e-08,7.249248312746204e-08,-71.39707023849851,-41.397070238498515,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 24, 1]","[1, 1, 24]","[1, 1, 24]","[1, 1, 24]",,True,
3,771,rx_human_chest,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_003_sionna.xml,30.0,0.0,0.0,2.4,-1.4605,-0.8406,1.6421,28000000000.0,21,6.163341392806387e-09,6.431429255826515e-08,5.8150951165458764e-08,2.240194589830935e-07,-66.49714255942916,-36.497142559429165,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 21, 1]","[1, 1, 21]","[1, 1, 21]","[1, 1, 21]",,True,
3,771,rx_x500_body,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_003_sionna.xml,30.0,0.0,0.0,2.4,-3.9279,3.2024,1.3944,28000000000.0,23,1.7234324189985273e-08,7.465505547088469e-08,5.742073128089942e-08,3.3723893011483597e-08,-74.72062297160716,-44.720622971607156,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 23, 1]","[1, 1, 23]","[1, 1, 23]","[1, 1, 23]",,True,
4,1028,rx_panda_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_004_sionna.xml,30.0,0.0,0.0,2.4,0.582,0.888,1.195,28000000000.0,27,7.579527228074312e-09,6.284866316264015e-08,5.526913593456584e-08,2.3569297624703722e-08,-76.27653359446846,-46.27653359446846,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 27, 1]","[1, 1, 27]","[1, 1, 27]","[1, 1, 27]",,True,
4,1028,rx_ur5_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_004_sionna.xml,30.0,0.0,0.0,2.4,0.497,-0.841,0.995,28000000000.0,19,5.708055805797585e-09,5.930293767164585e-08,5.3594881865848265e-08,6.884288836772612e-07,-61.62140916731317,-31.621409167313168,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 19, 1]","[1, 1, 19]","[1, 1, 19]","[1, 1, 19]",,True,
4,1028,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_004_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.621421384991663e-08,-74.41120938168608,-44.41120938168608,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,
4,1028,rx_nao_chest,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_004_sionna.xml,30.0,0.0,0.0,2.4,-0.1337,2.748,0.7,28000000000.0,24,1.0787783999433032e-08,6.209720737615498e-08,5.130942337672195e-08,7.24924902328894e-08,-71.3970698128202,-41.397069812820206,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 24, 1]","[1, 1, 24]","[1, 1, 24]","[1, 1, 24]",,True,
4,1028,rx_human_chest,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_004_sionna.xml,30.0,0.0,0.0,2.4,-1.4605,-0.8406,1.6421,28000000000.0,21,6.163341392806387e-09,6.431429255826515e-08,5.8150951165458764e-08,2.2401947319394822e-07,-66.49714228393097,-36.49714228393097,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 21, 1]","[1, 1, 21]","[1, 1, 21]","[1, 1, 21]",,True,
4,1028,rx_x500_body,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_004_sionna.xml,30.0,0.0,0.0,2.4,-3.9279,3.2024,1.3944,28000000000.0,23,1.7234324189985273e-08,7.465505547088469e-08,5.742073128089942e-08,3.372388590605624e-08,-74.72062388664037,-44.72062388664037,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 23, 1]","[1, 1, 23]","[1, 1, 23]","[1, 1, 23]",,True,
5,1285,rx_panda_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_005_sionna.xml,30.0,0.0,0.0,2.4,0.582,0.888,1.195,28000000000.0,27,7.579527228074312e-09,6.284866316264015e-08,5.526913593456584e-08,2.3569295848346883e-08,-76.27653392178496,-46.27653392178496,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 27, 1]","[1, 1, 27]","[1, 1, 27]","[1, 1, 27]",,True,
5,1285,rx_ur5_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_005_sionna.xml,30.0,0.0,0.0,2.4,0.497,-0.841,0.995,28000000000.0,15,2.8585452227503083e-08,5.930293767164585e-08,3.071748544414277e-08,1.4623646737987883e-09,-88.34944312693094,-58.349443126930936,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 15, 1]","[1, 1, 15]","[1, 1, 15]","[1, 1, 15]",,True,
5,1285,rx_cerberus_base,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_005_sionna.xml,30.0,0.0,0.0,2.4,4.074,-1.779,0.81,28000000000.0,18,1.574846919538686e-08,5.723669715962387e-08,4.148822796423701e-08,3.6214210297202953e-08,-74.41120980774089,-44.41120980774089,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 18, 1]","[1, 1, 18]","[1, 1, 18]","[1, 1, 18]",,True,
5,1285,rx_nao_chest,/home/telilab4090/Documents/Gazebo World/my_world/rt_out/experiments/semantic_ablation_rigid_200f/sionna_xml/frame_005_sionna.xml,30.0,0.0,0.0,2.4,-0.1337,2.748,0.7,28000000000.0,24,1.0787783999433032e-08,6.209720737615498e-08,5.130942337672195e-08,7.24924902328894e-08,-71.3970698128202,-41.397069812820206,cir_coefficients_tau_mask,,"[1, 1, 1, 1, 24, 1]","[1, 1, 24]","[1, 1, 24]","[1, 1, 24]",,True,
